NoSpam	Ve hasta jurong point, loco.. Disponible solo en bugis n great world la e buffet... Cine hay amore wat...
NoSpam	Ok lar... Bromeando contigo oni...
Spam	Entrada gratuita en 2 una competición semanal para ganar los partidos finales de la Copa FA el 21 de mayo de 2005. Envíe un mensaje de texto con FA al 87121 para recibir la pregunta de entrada (tarifa de texto estándar) Se aplican los términos y condiciones 08452810075 para mayores de 18 años
NoSpam	No dices tan temprano para... Uc ya entonces di...
NoSpam	Nah, no creo que vaya a usf, aunque vive por aquí.
Spam	FreeMsg ¡Hola, cariño, han pasado 3 semanas y no he respondido! Me gustaría un poco de diversión todavía? ¡Tb está bien! XxX std chgs para enviar, £ 1.50 para rcv
NoSpam	Incluso mi hermano no quiere hablar conmigo. Me tratan como una patente de sida.
NoSpam	Según su solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha establecido como su tono de llamada para todas las personas que llaman. Presiona *9 para copiar a tus amigos Callertune
Spam	¡¡GANADOR!! ¡Como valioso cliente de la red, ha sido seleccionado para recibir un premio de 900 libras esterlinas! Para reclamar llamar al 09061701461. Código de reclamación KL341. Válido solo 12 horas.
Spam	¿Tuviste tu móvil 11 meses o más? ¡U R tiene derecho a actualizar a los últimos móviles a color con cámara gratis! Llame a The Mobile Update Co GRATIS al 08002986030
NoSpam	Voy a estar en casa pronto y no quiero hablar más de estas cosas esta noche, ¿ok? He llorado suficiente hoy.
Spam	¡SEIS oportunidades de ganar EFECTIVO! De 100 a 20,000 libras txt> CSH11 y envíe al 87575. Costo 150p/día, 6 días, 16+ Ts y Cs aplican Reply HL 4 info
Spam	¡URGENTE! ¡Ha ganado una membresía GRATUITA de 1 semana en nuestro premio mayor de £ 100,000! Envíe por mensaje de texto la palabra: CLAIM al n.º: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
NoSpam	He estado buscando las palabras adecuadas para agradecerte por este respiro. Te prometo que no daré por sentada tu ayuda y cumpliré mi promesa. Has sido maravilloso y una bendición en todo momento.
NoSpam	TENGO UNA CITA EL DOMINGO CON WILL!!
Spam	XXXMobileMovieClub: Para usar su crédito, haga clic en el enlace WAP en el siguiente mensaje de texto o haga clic aquí>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
NoSpam	Oh, estoy mirando tv aquí
NoSpam	Eh, recuerdas cómo se deletrea su nombre... Sí, lo hice. Él es muy travieso hasta que me mojo.
NoSpam	Bien si así es como te sientes. Esa es la forma
Spam	Inglaterra v Macedonia - no te pierdas los goles/noticias del equipo. Envíe un mensaje de texto con su equipo nacional al 87077, por ejemplo, INGLATERRA al 87077 Pruebe: GALES, ESCOCIA 4txt/ú1.20 POBOXox36504W45WQ 16+
NoSpam	¿Es así en serio como se escribe su nombre?
NoSpam	Voy a intentarlo durante 2 meses, ja, ja, solo bromeaba.
NoSpam	Así que pague primero, aprenda... Entonces, ¿cuándo llegarán las acciones?
NoSpam	Después de terminar mi almuerzo, voy por la calle lor. Ard 3 algo lor. ¿Terminaste tu almuerzo ya?
NoSpam	ffffffffff De acuerdo, ¿de ninguna manera puedo reunirme contigo antes?
NoSpam	Solo me obligué a comer una rebanada. Realmente no tengo hambre aunque. Esto apesta. Mark se está preocupando. Él sabe que estoy enfermo cuando rechazo la pizza. Jajaja
NoSpam	Lol tu siempre tan convincente.
NoSpam	¿Cogiste el autobús? ¿Estás friendo un huevo? ¿Hiciste un té? ¿Te estás comiendo lo que sobró de la cena de tu mamá? Sientes mi amor ?
Spam	Gracias por suscribirse a Ringtone UK, su móvil tendrá un cargo de £5/mes. Confirme respondiendo SÍ o NO. Si responde NO, no se le cobrará
NoSpam	Sí... Ok, voy a casa, miro los horarios y luego vuelvo a enviar un mensaje... Xuhui también va a aprender el 2 de mayo, pero su lección es a las 8 a.m.
NoSpam	Ups, te avisaré cuando mi compañero de cuarto haya terminado.
NoSpam	Veo la letra B en mi auto
NoSpam	Lo que sea... tu decides...
NoSpam	¡Hola! ¿Cómo estás y cómo te fue el sábado? Solo te enviaba un mensaje de texto para ver si habías decidido hacer algo, Tomo. ¡No es que esté tratando de invitarme a mí mismo ni nada!
NoSpam	Por favor, adelante con los vatios. Tan sólo quería asegurarme. Que tengas un gran fin de semana. abiola
NoSpam	¿Olvidé decírtelo? Te quiero, te necesito, te anhelo... Pero sobre todo... Te amo mi dulce corcel árabe... Mmmmmm... Que rico
Spam	07732584351 - Rodger Burns - MSG = Tratamos de llamarlo con respecto a su respuesta a nuestro sms para obtener un móvil nokia gratis + videocámara gratis. Por favor llame ahora 08000930705 para entrega mañana
